======================================================================
PROXY CHECK RESULTS
Total: 1000 | Live: 505 | Die: 495
======================================================================

----------------------------------------
[LIVE] 505 proxies
----------------------------------------
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 3716ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 3923ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 3786ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:4529 | HTTP | 4619ms | IP: 27.79.234.246
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 559ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 573ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 571ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 1041ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 636ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 573ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 642ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 563ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 650ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 568ms | IP: 27.79.130.140
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 645ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 639ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 562ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 644ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 632ms | IP: 27.79.147.110
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3758ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4101 | HTTP | 5197ms | IP: 171.224.18.121
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 3849ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 4216ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 4192ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:4405 | HTTP | 4219ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:4092 | HTTP | 4325ms | IP: 117.6.107.34
